date,ticker,price
2014-03-07,FOX,33.14
2014-03-10,AAPL,530.92
2014-03-10,MSFT,37.82
2014-03-10,AMZN,370.53
2014-03-10,FB,72.03
2014-03-10,JNJ,93.45
2014-03-10,BRK_B,124.1
2014-03-10,XOM,95.5
2014-03-10,JPM,59.2
2014-03-10,GOOGL,1211.57
2014-03-10,BAC,17.47
2014-03-10,WFC,48.15
2014-03-10,PG,78.53
2014-03-10,CVX,115.84
2014-03-10,INTC,24.84
2014-03-10,PFE,32.39
2014-03-10,T,32.51
2014-03-10,V,225.5
2014-03-10,UNH,77.88
2014-03-10,HD,82.18
2014-03-10,C,49.57
2014-03-10,KO,38.65
2014-03-10,VZ,47.03
2014-03-10,CMCSA,51.52
2014-03-10,CSCO,21.69
2014-03-10,PEP,81.73
2014-03-10,PM,80.43
2014-03-10,DIS,81.97
2014-03-10,GE,26.04
2014-03-10,ABBV,51.66
2014-03-10,MRK,57.32
2014-03-10,ORCL,38.86
2014-03-10,BA,126.89
2014-03-10,MA,77.39
2014-03-10,MMM,133.56
2014-03-10,MCD,95.2
2014-03-10,WMT,74.43
2014-03-10,IBM,186.39
2014-03-10,MO,36.86
2014-03-10,AMGN,125.4
2014-03-10,HON,95.25
2014-03-10,MDT,60.07
2014-03-10,BMY,56.14
2014-03-10,QCOM,77.07
2014-03-10,TXN,45.87
2014-03-10,ABT,39.82
2014-03-10,UNP,186.22
2014-03-10,GILD,80.23
2014-03-10,ACN,84.04
2014-03-10,UTX,117.77
2014-03-10,SLB,92.87
2014-03-10,GS,173.51
2014-03-10,PCLN,1343.44
2014-03-10,USB,42.35
2014-03-10,SBUX,73.56
2014-03-10,CAT,96.75
2014-03-10,LLY,58.9
2014-03-10,LMT,165.48
2014-03-10,UPS,98.74
2014-03-10,CELG,158.42
2014-03-10,COST,114.59
2014-03-10,NEE,91.18
2014-03-10,NKE,78.98
2014-03-10,CVS,73.57
2014-03-10,AXP,93.7
2014-03-10,MS,32.13
2014-03-10,TWX,68.53
2014-03-10,CHTR,128.54
2014-03-10,LOW,49.99
2014-03-10,BIIB,338.0
2014-03-10,CL,63.05
2014-03-10,MDLZ,35.08
2014-03-10,DUK,69.62
2014-03-10,COP,66.89
2014-03-10,WBA,66.78
2014-03-10,BLK,308.47
2014-03-10,AGN,208.68
2014-03-10,DHR,77.15
2014-03-10,GM,37.09
2014-03-10,GD,110.41
2014-03-10,AIG,51.02
2014-03-10,MET,53.36
2014-03-10,FDX,137.86
2014-03-10,BK,33.34
2014-03-10,RTN,100.73
2014-03-10,SO,42.16
2014-03-10,MON,113.6
2014-03-10,OXY,97.22
2014-03-10,SPG,160.9
2014-03-10,F,15.51
2014-03-10,COF,75.15
2014-03-10,EXC,29.88
2014-03-10,EMR,64.93
2014-03-10,HAL,56.47
2014-03-10,ALL,55.8
2014-03-10,KMI,31.8
2014-03-10,TGT,61.16
2014-03-10,FOXA,33.69
2014-03-10,FOX,32.94
2014-03-11,AAPL,536.09
2014-03-11,MSFT,38.02
2014-03-11,AMZN,368.82
2014-03-11,FB,70.1
2014-03-11,JNJ,93.49
2014-03-11,BRK_B,124.69
2014-03-11,XOM,94.01
2014-03-11,JPM,58.19
2014-03-11,GOOGL,1199.99
2014-03-11,BAC,17.27
2014-03-11,WFC,47.81
2014-03-11,PG,78.95
2014-03-11,CVX,114.51
2014-03-11,INTC,24.73
2014-03-11,PFE,32.42
2014-03-11,T,32.23
2014-03-11,V,227.18
2014-03-11,UNH,77.78
2014-03-11,HD,81.29
2014-03-11,C,48.43
2014-03-11,KO,38.8
2014-03-11,VZ,46.7
2014-03-11,CMCSA,51.22
2014-03-11,CSCO,21.61
2014-03-11,PEP,82.81
2014-03-11,PM,79.52
2014-03-11,DIS,81.05
2014-03-11,GE,25.9
2014-03-11,ABBV,51.75
2014-03-11,MRK,56.69
2014-03-11,ORCL,38.9
2014-03-11,BA,125.67
2014-03-11,MA,77.9
2014-03-11,MMM,132.51
2014-03-11,MCD,98.78
2014-03-11,WMT,74.92
2014-03-11,IBM,186.76
2014-03-11,MO,36.76
2014-03-11,AMGN,124.27
2014-03-11,HON,94.11
2014-03-11,MDT,60.26
2014-03-11,BMY,55.83
2014-03-11,QCOM,76.71
2014-03-11,TXN,45.67
2014-03-11,ABT,39.71
2014-03-11,UNP,185.77
2014-03-11,GILD,79.84
2014-03-11,ACN,83.55
2014-03-11,UTX,115.64
2014-03-11,SLB,91.95
2014-03-11,GS,169.89
2014-03-11,PCLN,1326.3
2014-03-11,USB,41.96
2014-03-11,SBUX,75.03
2014-03-11,CAT,96.84
2014-03-11,LLY,58.43
2014-03-11,LMT,163.8
2014-03-11,UPS,98.31
2014-03-11,CELG,158.39
